FID,FLU,FLUDESC,FLUSHRTDEC,SHAPE_STAr,SHAPE_STLe,Shape__Area,Shape__Length
344,14,Public Parks and Recreation,Recreation,1180008.61389,5453.5573701,135790.6875,1851.33496183931
345,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",127209.935211,1632.20161622,14637.1171875,554.405542279694
346,5,High Density Multifamily Residential,High D. MF Res.,276829.632324,2396.51085755,31852.69140625,813.673714104574
347,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",3362825.81812,8167.40390452,386951.892578125,2771.94832284968
348,8,Restricted Commercial,Restricted Com.,550033.314453,6500.67479488,63266.966796875,2200.03112752501
349,9,General Commercial,General Com.,489052.542664,3191.74201035,56265.47265625,1081.36829862572
350,1,Single Family - Residential,Single Fam. Res,44592.4439087,927.506134567,5130.34765625,314.842926458615
351,2,Duplex - Residential,Duplex Res.,3409713.09891,11267.4156436,392227.1640625,3821.91174550943
352,1,Single Family - Residential,Single Fam. Res,432379.041962,3060.28397914,49736.748046875,1037.212609146
353,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",210053.061768,2577.82363621,24161.931640625,874.02561830484
354,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",39238.2736206,866.122700887,4513.833984375,294.031532332974
355,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",1969375.8114,7696.14124922,226574.16796875,2609.86833031292
356,4,Medium Density Multifamily Residential,Med D. MF Res.,959217.345306,5941.56400438,110331.669921875,2011.74893549222
357,4,Medium Density Multifamily Residential,Med D. MF Res.,327267.242279,2983.1135564,37639.9453125,1011.99735729539
358,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",3136229.94638,8444.56370091,360718.462890625,2866.88910535518
359,4,Medium Density Multifamily Residential,Med D. MF Res.,781767.800476,3734.00618683,89919.681640625,1265.83783816984
360,4,Medium Density Multifamily Residential,Med D. MF Res.,147245.30838,1787.57202697,16929.662109375,605.289149851555
361,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",109878.72168,1374.38686773,12635.119140625,466.001538418706
362,2,Duplex - Residential,Duplex Res.,2973859.14774,10411.6876729,341972.916015625,3526.61176277522
363,4,Medium Density Multifamily Residential,Med D. MF Res.,42435.3737183,875.670822961,4879.8515625,296.93654613766
364,8,Restricted Commercial,Restricted Com.,101724.144867,1394.52001561,11694.337890625,473.166212240524
365,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",427698.588623,3945.32431423,49158.701171875,1337.70324741258
366,8,Restricted Commercial,Restricted Com.,3428964.71353,14637.1669456,394959.154296875,4967.14781829346
367,4,Medium Density Multifamily Residential,Med D. MF Res.,883106.184052,7648.38921609,101686.822265625,2592.62615738128
368,2,Duplex - Residential,Duplex Res.,1095786.26563,6686.53350068,126172.763671875,2266.17330486407
369,8,Restricted Commercial,Restricted Com.,4658684.63608,36615.0940081,536407.64453125,12433.1035099255
370,14,Public Parks and Recreation,Recreation,201464.79425,1867.2886188,23198.82421875,633.232451572257
371,9,General Commercial,General Com.,417569.71524,4797.45139656,48080.623046875,1628.51526190762
372,9,General Commercial,General Com.,544059.387848,3078.16479708,62628.7578125,1044.97587512019
373,2,Duplex - Residential,Duplex Res.,702852.269104,3996.62881391,80882.548828125,1355.96334373886
374,8,Restricted Commercial,Restricted Com.,2690194.41275,6544.36504972,309522.990234375,2219.3932682635
375,4,Medium Density Multifamily Residential,Med D. MF Res.,582559.669891,4784.26786456,67025.609375,1621.68636637365
376,2,Duplex - Residential,Duplex Res.,4103520.86996,9348.55906553,472095.619140625,3169.77698666375
377,2,Duplex - Residential,Duplex Res.,1806676.78845,10463.0944584,207853.84375,3550.70078035845
378,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",633744.101837,3270.40070566,72910.859375,1109.85396448199
379,4,Medium Density Multifamily Residential,Med D. MF Res.,30718.5901489,708.170701631,3534.16796875,240.293965630883
380,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",1091303.07135,4427.84219523,125545.123046875,1502.60149849257
381,4,Medium Density Multifamily Residential,Med D. MF Res.,906305.774109,5670.39161497,104260.509765625,1919.7982347308
382,14,Public Parks and Recreation,Recreation,14462.3795166,607.464942597,1663.76953125,205.825847947796
383,14,Public Parks and Recreation,Recreation,13640.6932068,541.927661331,1569.2265625,183.668473774876
384,13,Industrial,Industrial,156118.516388,1957.36170906,17959.251953125,664.864984335346
385,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",61918.3138733,1038.02589456,7123.01171875,351.803074697484
386,8,Restricted Commercial,Restricted Com.,667340.43576,3629.09362081,76765.66796875,1231.87490984605
387,13,Industrial,Industrial,53076.9188538,1139.171068,6105.427734375,386.371487936896
388,13,Industrial,Industrial,245684.441101,2135.21782472,28270.458984375,725.065793365008
389,9,General Commercial,General Com.,78477.4295654,1340.65778234,9031.8828125,454.130341991124
390,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",590328.086609,4101.11444509,67940.984375,1391.31633242907
391,4,Medium Density Multifamily Residential,Med D. MF Res.,348217.691162,3412.57226307,40108.634765625,1156.91239778325
392,13,Industrial,Industrial,384970.849884,2922.08132175,44298.044921875,992.158918453729
